iter	Logloss
0	0.6690118591
1	0.644736617
2	0.6267776656
3	0.611846368
4	0.6004428689
5	0.5898651628
6	0.5818111801
7	0.575215379
8	0.5673225794
9	0.5610844304
10	0.556301987
11	0.5521461149
12	0.5481573613
13	0.545014569
14	0.5416340408
15	0.5384530771
16	0.5358503854
17	0.5329429248
18	0.530287083
19	0.5277143269
20	0.5250630287
21	0.5230556613
22	0.5204650633
23	0.518693375
24	0.516459653
25	0.5144032763
26	0.5130104377
27	0.5113922581
28	0.510166621
29	0.5088335449
30	0.5077867091
31	0.5067237749
32	0.505394546
33	0.5044659815
34	0.5036015144
35	0.5015905196
36	0.5006990013
37	0.4996428241
38	0.4976250211
39	0.4968163332
40	0.4954649773
41	0.4941814164
42	0.4922353279
43	0.4907476031
44	0.4897572028
45	0.4882354144
46	0.4865968584
47	0.485156777
48	0.4836673363
49	0.4822019624
50	0.481365606
51	0.4792938364
52	0.4780675622
53	0.4770130054
54	0.4759838971
55	0.4744643733
56	0.4737322531
57	0.472824967
58	0.4715299278
59	0.4703979584
60	0.4693019231
61	0.4682464928
62	0.4664490533
63	0.4656657835
64	0.4645630319
65	0.4634997038
66	0.4628890535
67	0.4618053543
68	0.4599511182
69	0.4586649053
70	0.4574363204
71	0.4563363269
72	0.4553671075
73	0.4541818401
74	0.4522619389
75	0.4509658508
76	0.450093377
77	0.4488011112
78	0.4476959829
79	0.4461941282
80	0.4447520658
81	0.4432928748
82	0.4419057902
83	0.4409893684
84	0.4401810096
85	0.4393544796
86	0.4380216111
87	0.4368882567
88	0.4346982122
89	0.4327700353
90	0.4309894745
91	0.4299705386
92	0.4286674493
93	0.4272340051
94	0.4260110764
95	0.4242895022
96	0.4229265425
97	0.4222674895
98	0.4202815207
99	0.4193440392
