iter	Passed	Remaining
0	6	692
1	13	653
2	20	654
3	26	637
4	32	608
5	37	586
6	43	578
7	49	570
8	54	553
9	59	538
10	65	529
11	70	518
12	76	509
13	81	501
14	86	491
15	92	487
16	98	481
17	105	479
18	110	470
19	115	463
20	120	454
21	127	451
22	133	445
23	138	439
24	143	431
25	148	423
26	153	415
27	158	408
28	165	404
29	171	399
30	178	397
31	185	394
32	192	390
33	199	386
34	208	387
35	217	386
36	224	382
37	230	376
38	235	369
39	240	361
40	245	353
41	252	348
42	257	341
43	262	334
44	269	329
45	275	323
46	280	316
47	286	310
48	291	303
49	295	295
50	299	287
51	303	280
52	306	272
53	309	263
54	312	255
55	315	247
56	317	239
57	319	231
58	322	223
59	324	216
60	325	208
61	327	200
62	330	194
63	333	187
64	334	180
65	336	173
66	337	166
67	339	159
68	340	153
69	342	146
70	344	140
71	345	134
72	346	128
73	348	122
74	349	116
75	350	110
76	351	104
77	352	99
78	353	94
79	355	88
80	356	83
81	358	78
82	359	73
83	361	68
84	365	64
85	366	59
86	368	55
87	370	50
88	372	46
89	374	41
90	376	37
91	377	32
92	379	28
93	381	24
94	383	20
95	384	16
96	386	11
97	387	7
98	389	3
99	390	0
