date,season,home_team,away_team,target_result,target_home_goals,target_away_goals,home_games_played,home_wins,home_draws,home_losses,home_points_per_game,home_avg_goals_scored,home_avg_goals_conceded,home_avg_goal_diff,home_goals_scored_first_half_ratio,home_goals_conceded_first_half_ratio,home_recent_goals_scored,home_recent_goals_conceded,home_recent_points_per_game,home_recent_clean_sheets,home_shot_conversion_rate,home_shots_on_target_ratio,home_avg_shots_per_game,home_avg_shots_on_target,home_avg_possession,home_possession_efficiency,home_avg_corners_for,home_corner_efficiency,home_avg_fouls_committed,home_avg_yellows,home_avg_reds,home_cards_first_half_ratio,home_venue_games,home_venue_win_ratio,home_venue_goals_avg,home_venue_conceded_avg,home_clean_sheets_ratio,home_scoring_ratio,home_comeback_ratio,home_lead_loss_ratio,away_games_played,away_wins,away_draws,away_losses,away_points_per_game,away_avg_goals_scored,away_avg_goals_conceded,away_avg_goal_diff,away_goals_scored_first_half_ratio,away_goals_conceded_first_half_ratio,away_recent_goals_scored,away_recent_goals_conceded,away_recent_points_per_game,away_recent_clean_sheets,away_shot_conversion_rate,away_shots_on_target_ratio,away_avg_shots_per_game,away_avg_shots_on_target,away_avg_possession,away_possession_efficiency,away_avg_corners_for,away_corner_efficiency,away_avg_fouls_committed,away_avg_yellows,away_avg_reds,away_cards_first_half_ratio,away_venue_games,away_venue_win_ratio,away_venue_goals_avg,away_venue_conceded_avg,away_clean_sheets_ratio,away_scoring_ratio,away_comeback_ratio,away_lead_loss_ratio
2016-08-26 18:45:00,2016-to-2017,Real Betis,Deportivo La Coruña,Draw,0,0,1,0.0,0.0,1.0,0.0,2.0,6.0,-4.0,0.5,0.5,2.0,6.0,0.0,0.0,0.6666666666666666,0.0,3.0,0.0,30.0,6.666666666666667,2.0,1.0,12.0,3.0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.2,0.5,10.0,5.0,52.0,3.8461538461538463,1.0,2.0,14.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-08-26 20:00:00,2016-to-2017,RCD Espanyol,Málaga CF,Draw,2,2,1,0.0,0.0,1.0,0.0,4.0,6.0,-2.0,0.75,0.5,4.0,6.0,0.0,0.0,0.8,0.8,5.0,4.0,32.0,12.5,2.0,2.0,15.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.09090909090909091,0.36363636363636365,11.0,4.0,55.0,1.8181818181818181,5.0,0.2,11.0,2.0,0.0,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-08-27 16:15:00,2016-to-2017,SD Eibar,Valencia CF,HomeWin,1,0,1,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.09090909090909091,0.6363636363636364,11.0,7.0,48.0,2.083333333333333,8.0,0.125,16.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,1.0,0.0,2.0,4.0,-2.0,1.0,0.75,2.0,4.0,0.0,0.0,0.14285714285714285,0.5714285714285714,14.0,8.0,61.0,3.278688524590164,12.0,0.16666666666666666,14.0,2.0,0.0,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-08-28 16:15:00,2016-to-2017,UD Las Palmas,Granada CF,HomeWin,5,1,1,1.0,0.0,0.0,3.0,4.0,2.0,2.0,0.75,1.0,4.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,39.0,10.256410256410255,1.0,4.0,18.0,2.0,0.0,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.3333333333333333,6.0,2.0,59.0,1.694915254237288,7.0,0.14285714285714285,13.0,2.0,0.0,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-08-28 16:15:00,2016-to-2017,Deportivo Alavés,Sporting Gijón,Draw,0,0,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,2.7027027027027026,2.0,0.5,14.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.2222222222222222,0.4444444444444444,9.0,4.0,33.0,6.0606060606060606,2.0,1.0,17.0,3.0,0.0,0.6666666666666666,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-08-28 18:15:00,2016-to-2017,Athletic Club Bilbao,FC Barcelona,AwayWin,0,1,1,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.08333333333333333,0.3333333333333333,12.0,4.0,67.0,1.4925373134328357,5.0,0.2,14.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,3.0,6.0,2.0,4.0,0.5,0.5,6.0,2.0,3.0,0.0,0.4,0.4666666666666667,15.0,7.0,70.0,8.571428571428571,10.0,0.6,15.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-08-28 20:15:00,2016-to-2017,Villarreal,Sevilla FC,Draw,0,0,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.14285714285714285,0.42857142857142855,7.0,3.0,41.0,2.4390243902439024,3.0,0.3333333333333333,10.0,3.0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,3.0,6.0,4.0,2.0,0.5,0.75,6.0,4.0,3.0,0.0,0.75,0.875,8.0,7.0,68.0,8.823529411764707,8.0,0.75,10.0,2.0,0.0,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-09-09 18:45:00,2016-to-2017,Real Sociedad,RCD Espanyol,Draw,1,1,2,1.0,0.0,1.0,1.5,1.0,1.5,-0.5,0.5,0.6666666666666666,1.0,1.5,1.5,0.5,0.14285714285714285,0.6428571428571429,7.0,4.5,49.5,2.0202020202020203,2.5,0.4,17.0,1.5,0.0,0.0,1,0.0,0.0,3.0,0.5,0.5,0.0,0.0,2,0.0,1.0,1.0,0.5,3.0,4.0,-1.0,0.625,0.25,3.0,4.0,0.5,0.0,0.6,0.4,5.0,2.0,40.0,7.5,2.5,1.2,17.5,2.0,0.0,0.5,1,0.0,4.0,6.0,0.0,1.0,0.0,0.0
2016-09-10 11:00:00,2016-to-2017,Celta de Vigo,Atlético Madrid,AwayWin,0,4,2,0.0,0.0,2.0,0.0,0.5,1.5,-1.0,0.0,0.0,0.5,1.5,0.0,0.0,0.06666666666666667,0.4666666666666667,7.5,3.5,52.0,0.9615384615384616,5.0,0.1,8.0,3.0,0.0,0.16666666666666666,1,0.0,0.0,1.0,0.0,0.5,0.0,0.0,2,0.0,2.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.027777777777777776,0.5,18.0,9.0,65.0,0.7692307692307693,14.0,0.03571428571428571,5.5,0.5,0.0,1.0,1,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2016-09-10 14:00:00,2016-to-2017,Real Madrid,CA Osasuna,HomeWin,5,2,2,2.0,0.0,0.0,3.0,2.5,0.5,2.0,0.3333333333333333,0.0,2.5,0.5,3.0,0.5,0.18518518518518517,0.48148148148148145,13.5,6.5,54.5,4.587155963302752,7.0,0.35714285714285715,7.5,1.5,0.0,0.0,1,1.0,2.0,1.0,0.5,1.0,0.0,0.0,2,0.0,1.0,1.0,0.5,0.5,1.5,-1.0,0.0,0.25,0.5,1.5,0.5,0.0,0.06666666666666667,0.4,7.5,3.0,47.0,1.0638297872340425,6.5,0.07692307692307693,19.0,2.5,0.0,0.6,1,0.0,1.0,1.0,0.0,0.5,0.0,0.0
