date,season,league,home_team,away_team,target_result,target_home_goals,target_away_goals,home_elo,away_elo,elo_diff,implied_prob_home,implied_prob_draw,implied_prob_away,odds_ratio,home_games_played,home_wins,home_draws,home_losses,home_points_per_game,home_avg_goals_scored,home_avg_goals_conceded,home_avg_goal_diff,home_goals_scored_first_half_ratio,home_goals_conceded_first_half_ratio,home_avg_xg_scored,home_avg_xg_conceded,home_xg_vs_goals_diff,home_shot_conversion_rate,home_shots_on_target_ratio,home_avg_shots_per_game,home_avg_shots_on_target,home_avg_possession,home_possession_efficiency,home_avg_corners_for,home_corner_efficiency,home_avg_fouls_committed,home_avg_yellows,home_avg_reds,home_cards_first_half_ratio,home_venue_games,home_venue_win_ratio,home_venue_goals_avg,home_venue_conceded_avg,home_clean_sheets_ratio,home_scoring_ratio,home_comeback_ratio,home_lead_loss_ratio,home_form_trend,home_recent_ppg_last3,home_recent_goals_scored_last3,home_recent_goals_conceded_last3,home_recent_clean_sheets_last3,home_draw_ratio_last3,home_recent_ppg_last5,home_recent_goals_scored_last5,home_recent_goals_conceded_last5,home_recent_clean_sheets_last5,home_draw_ratio_last5,home_recent_ppg_last10,home_recent_goals_scored_last10,home_recent_goals_conceded_last10,home_recent_clean_sheets_last10,home_draw_ratio_last10,away_games_played,away_wins,away_draws,away_losses,away_points_per_game,away_avg_goals_scored,away_avg_goals_conceded,away_avg_goal_diff,away_goals_scored_first_half_ratio,away_goals_conceded_first_half_ratio,away_avg_xg_scored,away_avg_xg_conceded,away_xg_vs_goals_diff,away_shot_conversion_rate,away_shots_on_target_ratio,away_avg_shots_per_game,away_avg_shots_on_target,away_avg_possession,away_possession_efficiency,away_avg_corners_for,away_corner_efficiency,away_avg_fouls_committed,away_avg_yellows,away_avg_reds,away_cards_first_half_ratio,away_venue_games,away_venue_win_ratio,away_venue_goals_avg,away_venue_conceded_avg,away_clean_sheets_ratio,away_scoring_ratio,away_comeback_ratio,away_lead_loss_ratio,away_form_trend,away_recent_ppg_last3,away_recent_goals_scored_last3,away_recent_goals_conceded_last3,away_recent_clean_sheets_last3,away_draw_ratio_last3,away_recent_ppg_last5,away_recent_goals_scored_last5,away_recent_goals_conceded_last5,away_recent_clean_sheets_last5,away_draw_ratio_last5,away_recent_ppg_last10,away_recent_goals_scored_last10,away_recent_goals_conceded_last10,away_recent_clean_sheets_last10,away_draw_ratio_last10,diff_ppg,diff_recent_ppg,diff_goals_scored,diff_goals_conceded,diff_xg_scored,diff_shots,diff_possession,diff_form_trend,combined_draw_tendency,match_competitiveness,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_avg,h2h_away_goals_avg,h2h_matches_count
2013-08-17 13:30:00,2013-to-2014,Germany,Hamburger SV,Hoffenheim,AwayWin,1,5,1502.8012999960577,1497.1987000039423,5.602599992115302,0.4621910734046477,0.2641091848026558,0.2736997417926964,1.6886792452830188,1,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,3.0,0.42857142857142855,0.42857142857142855,7.0,3.0,46.0,6.521739130434782,7.0,0.42857142857142855,11.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.5,0.0,0.0,0.0,2.0,0.10526315789473684,0.3684210526315789,19.0,7.0,54.0,3.7037037037037033,6.0,0.3333333333333333,17.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-12.0,-8.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0
2013-08-17 13:30:00,2013-to-2014,Germany,Freiburg,Mainz 05,AwayWin,1,2,1492.8012999960577,1507.1987000039423,-14.397400007884698,0.40509360844372716,0.2817030265614424,0.31320336499483054,1.2933884297520661,1,0.0,0.0,1.0,0.0,1.0,3.0,-2.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.0,3.0,0.0,55.0,1.8181818181818181,2.0,0.5,14.0,2.0,0.0,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1,1.0,0.0,0.0,3.0,3.0,2.0,1.0,0.3333333333333333,0.5,0.0,0.0,3.0,0.42857142857142855,0.7142857142857143,7.0,5.0,51.0,5.88235294117647,2.0,1.5,14.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,-3.0,-3.0,-2.0,1.0,0.0,-4.0,4.0,0.0,0.0,3.0,0,0,0,0.0,0.0,0
2013-08-17 13:30:00,2013-to-2014,Germany,Stuttgart,Bayer Leverkusen,AwayWin,0,1,1492.8012999960577,1507.1987000039423,-14.397400007884698,0.2840853559211598,0.2663300211760873,0.44958462290275286,0.6318840579710145,1,0.0,0.0,1.0,0.0,2.0,3.0,-1.0,0.5,0.3333333333333333,0.0,0.0,2.0,0.16666666666666666,0.75,12.0,9.0,49.0,4.081632653061225,8.0,0.25,14.0,4.0,0.0,0.25,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1,1.0,0.0,0.0,3.0,3.0,1.0,2.0,0.3333333333333333,1.0,0.0,0.0,3.0,0.2727272727272727,0.2727272727272727,11.0,3.0,45.0,6.666666666666667,5.0,0.6,9.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,-3.0,-3.0,-1.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0,0,0,0.0,0.0,0
2013-08-18 13:30:00,2013-to-2014,Germany,Nürnberg,Hertha BSC,Draw,2,2,1502.8012999960577,1507.1987000039423,-4.397400007884698,0.4134900289642774,0.2840496720711123,0.3024602989646103,1.3670886075949367,1,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.5,0.0,0.0,2.0,0.25,0.5,8.0,4.0,46.0,4.3478260869565215,9.0,0.2222222222222222,16.0,4.0,0.0,0.25,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1,1.0,0.0,0.0,3.0,6.0,1.0,5.0,0.3333333333333333,1.0,0.0,0.0,6.0,1.0,0.6666666666666666,6.0,4.0,43.0,13.953488372093023,5.0,1.2,17.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,-2.0,-2.0,-4.0,1.0,0.0,2.0,3.0,0.0,0.5,2.0,0,0,0,0.0,0.0,0
2013-08-24 13:30:00,2013-to-2014,Germany,Mainz 05,Wolfsburg,HomeWin,2,0,1519.6138665412898,1500.1170439834336,19.49682255785615,0.36435333604250386,0.27531193088604927,0.36033473307144676,1.0111524163568775,2,2.0,0.0,0.0,3.0,2.5,1.5,1.0,0.16666666666666666,0.25,0.0,0.0,2.5,0.2777777777777778,0.7777777777777778,9.0,7.0,49.0,5.1020408163265305,3.0,0.8333333333333334,10.5,2.5,0.0,0.2,1,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.5,1.5,0.0,0.0,3.0,2.5,1.5,0.0,0.0,3.0,2.5,1.5,0.0,0.0,2,1.0,0.0,1.0,1.5,2.0,1.0,1.0,0.0,0.5,0.0,0.0,2.0,0.16666666666666666,0.5,12.0,6.0,48.0,4.166666666666666,6.5,0.3076923076923077,14.0,0.5,1.0,0.6666666666666666,1,0.0,0.0,2.0,0.5,0.5,0.0,0.0,0.0,1.5,2.0,1.0,0.5,0.0,1.5,2.0,1.0,0.5,0.0,1.5,2.0,1.0,0.5,0.0,1.5,1.5,0.5,0.5,0.0,-3.0,1.0,0.0,0.0,1.5,0,0,0,0.0,0.0,0
2013-08-24 13:30:00,2013-to-2014,Germany,Hoffenheim,Freiburg,Draw,3,3,1510.1479205774972,1480.3861334587102,29.76178711878697,0.4952174041268937,0.2614747893789998,0.24330780649410652,2.0353535353535355,2,1.0,1.0,0.0,2.0,3.5,1.5,2.0,0.35,0.5,0.0,0.0,3.5,0.25925925925925924,0.37037037037037035,13.5,5.0,47.5,7.368421052631578,5.0,0.7,19.0,1.5,0.0,0.3333333333333333,1,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,3.5,1.5,0.0,0.5,2.0,3.5,1.5,0.0,0.5,2.0,3.5,1.5,0.0,0.5,2,0.0,0.0,2.0,0.0,1.0,2.5,-1.5,0.5,0.16666666666666666,0.0,0.0,1.0,0.14285714285714285,0.42857142857142855,7.0,3.0,54.0,1.8518518518518516,2.0,0.5,15.5,1.0,0.0,0.5,1,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,1.0,2.5,0.0,0.0,2.0,2.0,2.5,-1.0,0.0,6.5,-6.5,0.0,0.25,2.0,0,0,0,0.0,0.0,0
2013-08-24 13:30:00,2013-to-2014,Germany,Bayern München,Nürnberg,HomeWin,2,0,1519.6138665412898,1500.1170439834336,19.49682255785615,0.8155102040816327,0.09224489795918367,0.09224489795918367,8.840707964601771,2,2.0,0.0,0.0,3.0,2.0,0.5,1.5,0.8333333333333333,1.0,0.0,0.0,2.0,0.13793103448275862,0.6551724137931034,14.5,9.5,64.5,3.10077519379845,5.5,0.36363636363636365,14.5,1.0,0.0,0.0,1,1.0,3.0,1.0,0.5,1.0,0.0,0.0,0.0,3.0,2.0,0.5,0.5,0.0,3.0,2.0,0.5,0.5,0.0,3.0,2.0,0.5,0.5,0.0,2,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.25,0.25,0.0,0.0,2.0,0.26666666666666666,0.4666666666666667,7.5,3.5,48.0,4.166666666666666,6.5,0.3076923076923077,14.5,4.5,0.0,0.3333333333333333,1,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,-1.5,0.0,7.0,16.5,0.0,0.5,2.0,0,0,0,0.0,0.0,0
2013-08-24 13:30:00,2013-to-2014,Germany,Bayer Leverkusen,Borussia M'gladbach,HomeWin,4,2,1519.6138665412898,1500.3861334587102,19.22773308257956,0.5949493825787073,0.23373011458449214,0.17132050283680053,3.472727272727273,2,2.0,0.0,0.0,3.0,2.0,0.5,1.5,0.6666666666666666,1.0,0.0,0.0,2.0,0.17391304347826086,0.30434782608695654,11.5,3.5,47.0,4.25531914893617,4.0,0.5,12.0,2.0,0.0,0.0,1,1.0,3.0,1.0,0.5,1.0,0.0,0.0,0.0,3.0,2.0,0.5,0.5,0.0,3.0,2.0,0.5,0.5,0.0,3.0,2.0,0.5,0.5,0.0,2,1.0,0.0,1.0,1.5,2.0,1.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,2.0,0.19047619047619047,0.47619047619047616,10.5,5.0,48.5,4.123711340206185,2.5,0.8,9.5,2.0,0.0,0.25,1,0.0,1.0,3.0,0.5,1.0,0.0,0.0,0.0,1.5,2.0,1.5,0.5,0.0,1.5,2.0,1.5,0.5,0.0,1.5,2.0,1.5,0.5,0.0,1.5,1.5,0.0,-1.0,0.0,1.0,-1.5,0.0,0.0,1.5,0,0,0,0.0,0.0,0
2013-08-24 13:30:00,2013-to-2014,Germany,Hannover 96,Schalke 04,HomeWin,2,1,1499.6138665412898,1489.8829560165664,9.730910524723413,0.32469487567377037,0.2650212228472395,0.4102839014789901,0.7913907284768212,2,1.0,0.0,1.0,1.5,1.0,1.5,-0.5,0.5,0.3333333333333333,0.0,0.0,1.0,0.06451612903225806,0.4838709677419355,15.5,7.5,47.5,2.1052631578947367,5.0,0.2,22.0,4.0,0.0,0.5,1,1.0,2.0,0.0,0.5,0.5,0.0,0.0,0.0,1.5,1.0,1.5,0.5,0.0,1.5,1.0,1.5,0.5,0.0,1.5,1.0,1.5,0.5,0.0,2,0.0,1.0,1.0,0.5,1.5,3.5,-2.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.5,0.17647058823529413,0.47058823529411764,8.5,4.0,53.0,2.8301886792452833,3.0,0.5,15.0,1.5,0.0,0.6666666666666666,1,0.0,0.0,4.0,0.0,0.5,0.0,0.0,0.0,0.5,1.5,3.5,0.0,0.5,0.5,1.5,3.5,0.0,0.5,0.5,1.5,3.5,0.0,0.5,1.0,1.0,-0.5,-2.0,0.0,7.0,-5.5,0.0,0.25,1.0,0,0,0,0.0,0.0,0
2013-08-24 16:30:00,2013-to-2014,Germany,Hertha BSC,Hamburger SV,HomeWin,1,0,1509.8829560165664,1489.8520794225028,20.030876594063557,0.5021884142015285,0.2583819017659579,0.23942968403251358,2.0974358974358975,2,1.0,1.0,0.0,2.0,4.0,1.5,2.5,0.16666666666666666,0.75,0.0,0.0,4.0,0.6666666666666666,0.6666666666666666,6.0,4.0,46.5,8.60215053763441,5.0,0.8,17.5,1.0,0.0,0.5,1,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.5,0.0,0.5,2.0,4.0,1.5,0.0,0.5,2.0,4.0,1.5,0.0,0.5,2,0.0,1.0,1.0,0.5,2.0,4.0,-2.0,0.8333333333333333,0.43333333333333335,0.0,0.0,2.0,0.3076923076923077,0.46153846153846156,6.5,3.0,52.5,3.8095238095238098,4.5,0.4444444444444444,13.0,2.0,0.0,0.5,1,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.5,2.0,4.0,0.0,0.5,0.5,2.0,4.0,0.0,0.5,0.5,2.0,4.0,0.0,0.5,1.5,1.5,2.0,-2.5,0.0,-0.5,-6.0,0.0,0.5,1.5,0,0,0,0.0,0.0,0
