date,season,home_team,away_team,target_result,target_home_goals,target_away_goals,home_games_played,home_wins,home_draws,home_losses,home_points_per_game,home_avg_goals_scored,home_avg_goals_conceded,home_avg_goal_diff,home_goals_scored_first_half_ratio,home_goals_conceded_first_half_ratio,home_recent_goals_scored,home_recent_goals_conceded,home_recent_points_per_game,home_recent_clean_sheets,home_shot_conversion_rate,home_shots_on_target_ratio,home_avg_shots_per_game,home_avg_shots_on_target,home_avg_possession,home_possession_efficiency,home_avg_corners_for,home_corner_efficiency,home_avg_fouls_committed,home_avg_yellows,home_avg_reds,home_cards_first_half_ratio,home_venue_games,home_venue_win_ratio,home_venue_goals_avg,home_venue_conceded_avg,home_clean_sheets_ratio,home_scoring_ratio,home_comeback_ratio,home_lead_loss_ratio,away_games_played,away_wins,away_draws,away_losses,away_points_per_game,away_avg_goals_scored,away_avg_goals_conceded,away_avg_goal_diff,away_goals_scored_first_half_ratio,away_goals_conceded_first_half_ratio,away_recent_goals_scored,away_recent_goals_conceded,away_recent_points_per_game,away_recent_clean_sheets,away_shot_conversion_rate,away_shots_on_target_ratio,away_avg_shots_per_game,away_avg_shots_on_target,away_avg_possession,away_possession_efficiency,away_avg_corners_for,away_corner_efficiency,away_avg_fouls_committed,away_avg_yellows,away_avg_reds,away_cards_first_half_ratio,away_venue_games,away_venue_win_ratio,away_venue_goals_avg,away_venue_conceded_avg,away_clean_sheets_ratio,away_scoring_ratio,away_comeback_ratio,away_lead_loss_ratio
2021-08-28 16:30:00,2021-to-2022,Atalanta,Bologna,Draw,0,0,1,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,3.0,0.0,0.25,0.375,8.0,3.0,52.0,3.8461538461538463,1.0,2.0,13.0,2.0,0.0,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,0.15,0.4,20.0,8.0,73.0,4.10958904109589,9.0,0.3333333333333333,12.0,4.0,2.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-08-28 16:30:00,2021-to-2022,Lazio,Spezia,HomeWin,6,1,1,1.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,0.0,0.3333333333333333,0.5555555555555556,9.0,5.0,55.0,5.454545454545454,3.0,1.0,10.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.5,0.0,2.0,2.0,1.0,0.0,0.125,0.4375,16.0,7.0,41.0,4.878048780487805,4.0,0.5,16.0,3.0,0.0,0.6666666666666666,1,0.0,2.0,2.0,0.0,1.0,0.0,0.0
2021-08-28 18:45:00,2021-to-2022,Fiorentina,Torino,HomeWin,2,1,1,0.0,0.0,1.0,0.0,1.0,3.0,-2.0,0.0,0.3333333333333333,1.0,3.0,0.0,0.0,0.08333333333333333,0.75,12.0,9.0,58.0,1.7241379310344827,4.0,0.25,18.0,2.0,1.0,0.6666666666666666,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.5,1.0,2.0,0.0,0.0,0.05,0.4,20.0,8.0,48.0,2.083333333333333,5.0,0.2,17.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-08-28 18:45:00,2021-to-2022,Juventus,Empoli,AwayWin,0,1,1,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.16666666666666666,0.4166666666666667,12.0,5.0,56.0,3.571428571428571,3.0,0.6666666666666666,13.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,1.0,0.0,1.0,3.0,-2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.05555555555555555,0.2222222222222222,18.0,4.0,45.0,2.2222222222222223,5.0,0.2,12.0,2.0,0.0,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-08-29 18:45:00,2021-to-2022,Salernitana,Roma,AwayWin,0,4,1,0.0,0.0,1.0,0.0,2.0,3.0,-1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.2,0.4,10.0,4.0,27.0,7.4074074074074066,4.0,0.5,13.0,2.0,1.0,0.6666666666666666,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,3.0,3.0,1.0,2.0,0.3333333333333333,0.0,3.0,1.0,3.0,0.0,0.25,0.6666666666666666,12.0,8.0,42.0,7.142857142857142,4.0,0.75,12.0,2.0,1.0,0.6666666666666666,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-09-11 16:00:00,2021-to-2022,Napoli,Juventus,HomeWin,2,1,2,2.0,0.0,0.0,3.0,2.0,0.5,1.5,0.25,0.0,2.0,0.5,3.0,0.5,0.13793103448275862,0.4827586206896552,14.5,7.0,58.5,3.418803418803419,3.5,0.5714285714285714,10.5,2.0,0.5,0.4,1,1.0,2.0,0.0,0.5,1.0,0.0,0.0,2,0.0,1.0,1.0,0.5,1.0,1.5,-0.5,1.0,0.5,1.0,1.5,0.5,0.0,0.06451612903225806,0.3548387096774194,15.5,5.5,55.5,1.8018018018018018,5.5,0.18181818181818182,11.0,2.5,0.0,0.0,1,0.0,2.0,2.0,0.0,0.5,0.0,0.0
2021-09-11 18:45:00,2021-to-2022,Atalanta,Fiorentina,AwayWin,1,2,2,1.0,1.0,0.0,2.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,2.0,0.5,0.06451612903225806,0.22580645161290322,15.5,3.5,55.5,1.8018018018018018,3.0,0.3333333333333333,12.5,2.0,0.0,0.5,1,0.0,0.0,0.0,0.5,0.5,0.0,0.0,2,1.0,0.0,1.0,1.5,1.5,2.0,-0.5,0.25,0.16666666666666666,1.5,2.0,1.5,0.0,0.13043478260869565,0.6956521739130435,11.5,8.0,58.0,2.586206896551724,3.5,0.42857142857142855,15.0,3.0,0.5,0.5714285714285714,1,0.0,1.0,3.0,0.0,1.0,0.0,0.0
2021-09-12 13:00:00,2021-to-2022,Cagliari,Genoa,AwayWin,2,3,2,0.0,1.0,1.0,0.5,1.5,3.0,-1.5,0.5,0.75,1.5,3.0,0.5,0.0,0.10344827586206896,0.3793103448275862,14.5,5.5,51.0,2.941176470588235,7.0,0.21428571428571427,14.0,3.5,0.0,0.42857142857142855,1,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2,0.0,0.0,2.0,0.0,0.5,3.0,-2.5,0.0,0.5,0.5,3.0,0.0,0.0,0.05,0.45,10.0,4.5,39.5,1.2658227848101267,3.0,0.16666666666666666,12.0,2.0,0.0,0.5,1,0.0,0.0,4.0,0.0,0.5,0.0,0.0
2021-09-12 13:00:00,2021-to-2022,Spezia,Udinese,AwayWin,0,1,2,0.0,1.0,1.0,0.5,1.5,4.0,-2.5,0.75,0.25,1.5,4.0,0.5,0.0,0.15,0.45,10.0,4.5,40.0,3.75,3.0,0.5,11.5,2.5,0.5,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,1.0,0.0,2.0,2.5,1.0,1.5,0.16666666666666666,1.0,2.5,1.0,2.0,0.5,0.1388888888888889,0.5,18.0,9.0,44.0,5.681818181818182,5.0,0.5,12.0,1.5,0.0,0.0,0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
2021-09-12 13:00:00,2021-to-2022,Torino,Salernitana,HomeWin,4,0,2,0.0,0.0,2.0,0.0,1.0,2.0,-1.0,0.0,0.5,1.0,2.0,0.0,0.0,0.07692307692307693,0.4230769230769231,13.0,5.5,45.0,2.2222222222222223,4.0,0.25,23.0,3.5,0.0,0.2857142857142857,1,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2,0.0,0.0,2.0,0.0,1.0,3.5,-2.5,0.0,0.0,1.0,3.5,0.0,0.0,0.125,0.25,8.0,2.0,23.5,4.25531914893617,2.5,0.4,12.5,2.0,0.5,0.6,1,0.0,2.0,3.0,0.0,0.5,0.0,0.0
