iter	Logloss
0	0.6850249465
1	0.6781144396
2	0.6715887618
3	0.6659323182
4	0.6608730937
5	0.6562557019
6	0.652424582
7	0.6485490006
8	0.6449081386
9	0.641853218
10	0.6389922002
11	0.6362091312
12	0.6338091483
13	0.6316782859
14	0.6295561207
15	0.627945573
16	0.6263511556
17	0.6248890485
18	0.6235912785
19	0.6222451204
20	0.6211009378
21	0.620136327
22	0.6191131547
23	0.6182379194
24	0.6173901675
25	0.6164976761
26	0.6159229232
27	0.6152244288
28	0.6146149026
29	0.6140499116
30	0.6134236392
31	0.6128666774
32	0.6123428278
33	0.6119023409
34	0.6114428802
35	0.6109633971
36	0.6104928442
37	0.6099744282
38	0.6096514067
39	0.6091963181
40	0.608704813
41	0.6083803488
42	0.6079832071
43	0.607572988
44	0.6071957012
45	0.6068094642
46	0.6062860824
47	0.6060057105
48	0.6056876359
49	0.6053909777
50	0.6050787485
51	0.6048218915
52	0.6044340399
53	0.6041451357
54	0.6038607465
55	0.60352373
56	0.6031997743
57	0.602905472
58	0.6025683391
59	0.6023460584
60	0.6020940851
61	0.6018081363
62	0.6015186668
63	0.6010990497
64	0.60079638
65	0.600389499
66	0.6000980089
67	0.599825756
68	0.5994952497
69	0.5992216507
70	0.5989395716
71	0.5986461305
72	0.5983280275
73	0.5980894021
74	0.5978875958
75	0.5976532399
76	0.5973817118
77	0.597283902
78	0.5970007472
79	0.59677577
80	0.5964616691
81	0.5961406328
82	0.5959222253
83	0.5957205992
84	0.5954329648
85	0.5952423786
86	0.5951119426
87	0.5948365421
88	0.5945269366
89	0.5943391388
90	0.5941713438
91	0.5939703217
92	0.5937120516
93	0.5935140855
94	0.5932233451
95	0.5929114722
96	0.592708521
97	0.592401103
98	0.5921765509
99	0.5918887006
100	0.5916360084
101	0.591341517
102	0.5911426449
103	0.5909226316
104	0.5906495895
105	0.5903360718
106	0.5900355799
107	0.5898072271
108	0.5895704447
109	0.5894453385
110	0.5892117951
111	0.5888767948
112	0.5886139739
113	0.5884046449
114	0.588061272
115	0.5877854297
116	0.5874884588
117	0.5871723726
118	0.5869804409
119	0.5866150367
120	0.5863372674
121	0.5860397924
122	0.5858195187
123	0.5855812872
124	0.5853425992
125	0.5850644743
126	0.5848824922
127	0.584685168
128	0.5844053177
129	0.5842398594
130	0.5840589968
131	0.5839263772
132	0.5835563616
133	0.5834532964
134	0.5831982602
135	0.5829825823
136	0.5827367511
137	0.5824034524
138	0.5821721817
139	0.5820022096
140	0.5818187324
141	0.5815714226
142	0.5813454186
143	0.5810703777
144	0.5807003498
145	0.5804336208
146	0.5801601039
147	0.5800386186
148	0.5798438585
149	0.5796167297
150	0.5794116734
151	0.5792240004
152	0.5789413562
153	0.5787782883
154	0.5785860103
155	0.578426721
156	0.5781387436
157	0.5779388035
158	0.5776068976
159	0.5773305675
160	0.5770615452
161	0.5768000325
162	0.5766415988
163	0.5764444268
164	0.5762091263
165	0.5758765783
166	0.5756998952
167	0.5754058268
168	0.5751270552
169	0.5749049256
170	0.5746205314
171	0.5743140736
172	0.5740403121
173	0.5738075959
174	0.5735591499
175	0.5732610534
176	0.5729965402
177	0.5728176008
178	0.5725199476
179	0.5723014732
180	0.5720162579
181	0.571800683
182	0.5715721307
183	0.5713643494
184	0.5710131249
185	0.570787666
186	0.5706349239
187	0.5704211787
188	0.5701637591
189	0.5698935344
190	0.5697238992
191	0.5694740501
192	0.5692753788
193	0.5690968973
194	0.5689584636
195	0.5687525251
196	0.5685325568
197	0.5682787334
198	0.5679605161
199	0.567695321
