iter	Passed	Remaining
0	7	1541
1	14	1473
2	22	1478
3	29	1445
4	37	1471
5	44	1429
6	51	1408
7	57	1372
8	63	1341
9	69	1322
10	76	1308
11	82	1292
12	87	1265
13	96	1277
14	102	1260
15	108	1247
16	114	1228
17	119	1203
18	124	1182
19	128	1158
20	133	1139
21	138	1122
22	143	1103
23	148	1086
24	152	1069
25	157	1050
26	161	1034
27	166	1023
28	171	1010
29	176	997
30	181	986
31	185	973
32	190	962
33	195	952
34	199	940
35	203	928
36	208	917
37	212	907
38	217	899
39	222	891
40	227	882
41	231	872
42	236	863
43	241	855
44	246	847
45	251	840
46	255	831
47	259	823
48	264	816
49	269	808
50	274	801
51	278	793
52	283	786
53	288	778
54	293	773
55	297	766
56	302	759
57	307	752
58	311	745
59	316	738
60	320	731
61	325	725
62	330	719
63	335	712
64	340	706
65	344	699
66	349	693
67	353	687
68	358	680
69	362	674
70	367	667
71	372	661
72	377	656
73	381	649
74	385	643
75	390	636
76	395	631
77	399	624
78	404	618
79	408	613
80	413	607
81	417	601
82	422	595
83	427	590
84	432	585
85	437	579
86	442	574
87	447	569
88	451	563
89	457	558
90	462	553
91	466	547
92	470	541
93	475	535
94	479	530
95	484	524
96	488	518
97	492	513
98	497	507
99	502	502
100	507	497
101	511	491
102	516	486
103	520	480
104	525	475
105	531	471
106	536	465
107	540	460
108	546	455
109	550	450
110	555	445
111	560	440
112	564	434
113	569	429
114	574	424
115	578	419
116	583	413
117	587	408
118	592	403
119	596	397
120	600	392
121	606	387
122	611	382
123	615	377
124	620	372
125	625	367
126	629	362
127	634	356
128	639	351
129	643	346
130	648	341
131	653	336
132	657	331
133	662	326
134	666	321
135	671	315
136	675	310
137	680	305
138	685	300
139	690	295
140	694	290
141	699	285
142	703	280
143	708	275
144	712	270
145	717	265
146	721	260
147	726	255
148	730	250
149	735	245
150	739	240
151	744	235
152	748	229
153	753	225
154	758	220
155	763	215
156	767	210
157	772	205
158	776	200
159	781	195
160	785	190
161	790	185
162	795	180
163	800	175
164	805	170
165	810	166
166	815	161
167	819	156
168	824	151
169	828	146
170	833	141
171	837	136
172	842	131
173	847	126
174	852	121
175	856	116
176	861	111
177	865	107
178	870	102
179	875	97
180	879	92
181	883	87
182	889	82
183	894	77
184	898	72
185	902	67
186	907	63
187	911	58
188	916	53
189	920	48
190	925	43
191	929	38
192	934	33
193	938	29
194	943	24
195	947	19
196	952	14
197	956	9
198	961	4
199	966	0
