iter	Logloss
0	0.6667530643
1	0.6474835949
2	0.6283410119
3	0.6118187662
4	0.5978712303
5	0.5873994891
6	0.5780198976
7	0.5699185923
8	0.5632199141
9	0.5582432494
10	0.5529514529
11	0.5478386811
12	0.5435036134
13	0.5393375996
14	0.5357236338
15	0.5326135166
16	0.529308162
17	0.526911849
18	0.5240805551
19	0.5216335353
20	0.5191889937
21	0.5167849068
22	0.5142053502
23	0.511923407
24	0.5090275632
25	0.5071960677
26	0.5052580641
27	0.5032070086
28	0.5012530822
29	0.4998683909
30	0.4977314394
31	0.4957065366
32	0.4942614683
33	0.4927056234
34	0.4908147037
35	0.4892807251
36	0.4881673213
37	0.4859993236
38	0.4841356242
39	0.4821865296
40	0.4801209403
41	0.4788836502
42	0.4778973032
43	0.4759554568
44	0.4736518455
45	0.4724495762
46	0.4714495691
47	0.4697270971
48	0.4675097559
49	0.4663218807
50	0.4645395648
51	0.4624498364
52	0.4612119622
53	0.4599183974
54	0.4583708027
55	0.4563914605
56	0.4539445842
57	0.4522777715
58	0.4513390429
59	0.4489562456
60	0.447167248
61	0.4459382681
62	0.4436363365
63	0.4424576264
64	0.4409591379
65	0.4399454124
66	0.4387496417
67	0.4374243783
68	0.4364274496
69	0.4351127037
70	0.4326117392
71	0.4313628458
72	0.4294040754
73	0.4287793671
74	0.427943499
75	0.4266468852
76	0.4248935962
77	0.4232725646
78	0.4221010572
79	0.4202485195
80	0.4191096432
81	0.4170431178
82	0.4153262963
83	0.4137556378
84	0.4125577505
85	0.4110985433
86	0.4102750543
87	0.4087037079
88	0.407615305
89	0.4061526419
90	0.404059011
91	0.402547179
92	0.4016324433
93	0.3998848386
94	0.3985563551
95	0.3972097282
96	0.3959283879
97	0.3947629899
98	0.3937678781
99	0.3915503847
