iter	Logloss
0	0.6608493404
1	0.6338741722
2	0.6129929195
3	0.5972875075
4	0.5853576812
5	0.5745111317
6	0.5664031223
7	0.5592442677
8	0.5532158327
9	0.5485635562
10	0.5447066649
11	0.5417240945
12	0.5392515115
13	0.5372952442
14	0.5354979122
15	0.5339954626
16	0.5328442937
17	0.5314979538
18	0.5301375646
19	0.5293943045
20	0.5285593962
21	0.5277220532
22	0.5270633388
23	0.526320512
24	0.5256864977
25	0.5252118572
26	0.5247005975
27	0.5243300772
28	0.5239045994
29	0.5234488099
30	0.5228325896
31	0.5224030444
32	0.521861215
33	0.5214823938
34	0.5209569684
35	0.5206309239
36	0.5203350044
37	0.5200539696
38	0.5197162776
39	0.519441894
40	0.5190877634
41	0.5186284368
42	0.5181199267
43	0.517613159
44	0.5171909455
45	0.5169574189
46	0.5164517852
47	0.5160712005
48	0.515679424
49	0.5153015736
50	0.5149197911
51	0.5144673124
52	0.5141306151
53	0.5135950556
54	0.5132166553
55	0.5127898603
56	0.5122861905
57	0.5120559161
58	0.5116165654
59	0.5113134243
60	0.510838181
61	0.5103024042
62	0.5099334569
63	0.5096495087
64	0.5093547231
65	0.5091169595
66	0.5087541959
67	0.5083588385
68	0.5078569275
69	0.5075769451
70	0.507097523
71	0.5067320056
72	0.506431762
73	0.5060520857
74	0.5058503242
75	0.5054558597
76	0.5050342676
77	0.5046923033
78	0.5043371196
79	0.5040644778
80	0.5037985189
81	0.5031720648
82	0.5028600242
83	0.5024954521
84	0.5022489498
85	0.5019189645
86	0.5014750132
87	0.5009464696
88	0.5006499203
89	0.5003426338
90	0.5000292686
91	0.4996496601
92	0.4992290863
93	0.498794066
94	0.4982545184
95	0.4979529309
96	0.4975764282
97	0.4972978872
98	0.4969120043
99	0.4964781367
