iter	Passed	Remaining
0	91	9093
1	147	7217
2	177	5735
3	228	5478
4	298	5676
5	351	5513
6	385	5126
7	428	4926
8	471	4768
9	522	4706
10	584	4725
11	649	4765
12	703	4705
13	782	4807
14	834	4730
15	926	4864
16	1004	4902
17	1080	4921
18	1151	4907
19	1192	4768
20	1220	4591
21	1275	4523
22	1331	4457
23	1354	4290
24	1419	4258
25	1464	4168
26	1516	4101
27	1600	4115
28	1670	4088
29	1724	4023
30	1803	4014
31	1840	3911
32	1887	3832
33	1968	3821
34	2035	3779
35	2095	3725
36	2163	3684
37	2210	3606
38	2279	3565
39	2347	3520
40	2390	3440
41	2453	3388
42	2530	3354
43	2600	3309
44	2668	3261
45	2730	3205
46	2810	3169
47	2880	3120
48	2947	3068
49	3009	3009
50	3062	2942
51	3095	2857
52	3121	2767
53	3139	2674
54	3151	2578
55	3162	2484
56	3173	2393
57	3183	2305
58	3248	2257
59	3308	2205
60	3333	2130
61	3364	2061
62	3374	1981
63	3385	1904
64	3395	1828
65	3404	1753
66	3414	1681
67	3426	1612
68	3438	1544
69	3451	1479
70	3462	1414
71	3474	1351
72	3490	1290
73	3511	1233
74	3541	1180
75	3574	1128
76	3607	1077
77	3656	1031
78	3703	984
79	3789	947
80	3858	905
81	3899	855
82	3995	818
83	4043	770
84	4084	720
85	4139	673
86	4179	624
87	4213	574
88	4255	525
89	4289	476
90	4319	427
91	4379	380
92	4439	334
93	4517	288
94	4606	242
95	4663	194
96	4748	146
97	4840	98
98	4882	49
99	4968	0
