iter	Logloss
0	0.6788815213
1	0.666958159
2	0.6572690851
3	0.6488616558
4	0.6425360421
5	0.6373252523
6	0.6329176426
7	0.6292202638
8	0.6265565042
9	0.6239744865
10	0.6214819524
11	0.6196242996
12	0.6179244782
13	0.6166116085
14	0.6153111234
15	0.6143483945
16	0.6133150126
17	0.6123990013
18	0.6117066567
19	0.6107338066
20	0.6099042315
21	0.6089713602
22	0.6082867701
23	0.607501003
24	0.6069738976
25	0.6063031602
26	0.6056756068
27	0.6051308638
28	0.6044578903
29	0.6038142297
30	0.603381325
31	0.6027961713
32	0.6021393197
33	0.6016863102
34	0.6012091926
35	0.6007338615
36	0.6003731944
37	0.5997780124
38	0.5995422371
39	0.598991532
40	0.5984390866
41	0.5978438156
42	0.5972945769
43	0.5967614704
44	0.5961423331
45	0.5957395129
46	0.5951550639
47	0.5947169478
48	0.5942283655
49	0.5939412535
50	0.5935967086
51	0.5932884433
52	0.5928497548
53	0.5921877556
54	0.5917193625
55	0.5909675681
56	0.5905373211
57	0.5900666614
58	0.5896061984
59	0.5893162883
60	0.5888309113
61	0.588208994
62	0.5876918983
63	0.5869113427
64	0.5864505009
65	0.5861846699
66	0.5858259149
67	0.5851475367
68	0.5847050755
69	0.5842180114
70	0.5835331935
71	0.5829716066
72	0.5824300788
73	0.5817699415
74	0.5813798232
75	0.5808472177
76	0.5803816768
77	0.5801026309
78	0.5795876471
79	0.5792338502
80	0.578705967
81	0.5782484885
82	0.5778924498
83	0.5772953431
84	0.5768563891
85	0.5762895788
86	0.5757942463
87	0.5753367718
88	0.5749723058
89	0.5745703263
90	0.5743131619
91	0.5737590896
92	0.573337971
93	0.5728466568
94	0.5721326005
95	0.5717556965
96	0.5710448931
97	0.5704543207
98	0.5699960803
99	0.5693026339
