iter	Passed	Remaining
0	41	4152
1	69	3387
2	131	4248
3	165	3964
4	205	3902
5	228	3587
6	238	3172
7	247	2842
8	255	2586
9	264	2383
10	274	2223
11	287	2110
12	298	1996
13	312	1922
14	332	1885
15	357	1877
16	392	1916
17	418	1905
18	441	1883
19	474	1898
20	493	1858
21	515	1827
22	527	1765
23	552	1750
24	573	1720
25	620	1765
26	657	1777
27	695	1789
28	727	1781
29	767	1790
30	797	1775
31	811	1724
32	833	1691
33	857	1665
34	881	1637
35	903	1605
36	917	1561
37	964	1574
38	1013	1584
39	1040	1561
40	1069	1538
41	1084	1498
42	1096	1453
43	1143	1455
44	1185	1449
45	1229	1443
46	1251	1411
47	1259	1364
48	1268	1319
49	1276	1276
50	1283	1233
51	1292	1192
52	1302	1155
53	1313	1118
54	1327	1086
55	1338	1051
56	1356	1022
57	1370	992
58	1385	962
59	1401	934
60	1416	905
61	1426	874
62	1438	845
63	1448	814
64	1458	785
65	1469	756
66	1480	729
67	1491	701
68	1500	674
69	1510	647
70	1520	621
71	1529	594
72	1537	568
73	1546	543
74	1554	518
75	1562	493
76	1571	469
77	1579	445
78	1587	421
79	1596	399
80	1606	376
81	1615	354
82	1623	332
83	1631	310
84	1641	289
85	1649	268
86	1659	248
87	1669	227
88	1679	207
89	1688	187
90	1698	167
91	1709	148
92	1719	129
93	1728	110
94	1739	91
95	1749	72
96	1758	54
97	1769	36
98	1781	17
99	1792	0
