iter	Passed	Remaining
0	18	1872
1	31	1552
2	47	1535
3	60	1454
4	71	1360
5	83	1303
6	96	1277
7	107	1239
8	121	1231
9	133	1203
10	151	1229
11	165	1210
12	184	1233
13	203	1249
14	221	1255
15	242	1272
16	260	1272
17	273	1244
18	287	1226
19	298	1195
20	313	1180
21	328	1165
22	338	1134
23	352	1116
24	364	1093
25	379	1080
26	393	1064
27	408	1049
28	424	1038
29	436	1019
30	448	997
31	462	983
32	477	969
33	491	953
34	503	934
35	516	918
36	531	905
37	543	886
38	559	874
39	576	864
40	592	853
41	607	839
42	629	834
43	644	820
44	661	808
45	679	797
46	695	784
47	715	774
48	734	764
49	751	751
50	773	742
51	796	735
52	815	722
53	832	709
54	868	710
55	893	702
56	917	691
57	938	679
58	959	666
59	983	655
60	1002	640
61	1017	623
62	1038	609
63	1057	594
64	1072	577
65	1087	560
66	1103	543
67	1119	526
68	1137	511
69	1156	495
70	1178	481
71	1200	466
72	1225	453
73	1241	436
74	1268	422
75	1287	406
76	1308	390
77	1327	374
78	1342	356
79	1363	340
80	1383	324
81	1398	307
82	1418	290
83	1437	273
84	1454	256
85	1473	239
86	1496	223
87	1524	207
88	1539	190
89	1564	173
90	1584	156
91	1600	139
92	1615	121
93	1631	104
94	1647	86
95	1662	69
96	1676	51
97	1697	34
98	1711	17
99	1728	0
