iter	MultiClass
0	1.077780139
1	1.059710065
2	1.043744134
3	1.030229684
4	1.019194815
5	1.010293063
6	1.001754098
7	0.9940489575
8	0.9878603057
9	0.9814849368
10	0.9761733499
11	0.9709985845
12	0.9666687145
13	0.9634175044
14	0.9598776801
15	0.955936655
16	0.9520899196
17	0.948734595
18	0.9458141987
19	0.9428753563
20	0.9393234384
21	0.9359094306
22	0.9337632379
23	0.9309940306
24	0.9286453494
25	0.9269785505
26	0.925298938
27	0.9233941914
28	0.9213845465
29	0.9186515378
30	0.9165612498
31	0.914071377
32	0.9122415697
33	0.9112134167
34	0.9098879277
35	0.9081824167
36	0.9067875139
37	0.9052686324
38	0.9025084131
39	0.9001350374
40	0.897800751
41	0.8958688529
42	0.8935961755
43	0.8923301765
44	0.8904721124
45	0.8880329387
46	0.886420719
47	0.8845602304
48	0.8820474126
49	0.8804973282
50	0.8791619758
51	0.8772293603
52	0.8759317546
53	0.8747181883
54	0.8735867195
55	0.8721815869
56	0.8699493806
57	0.8684009492
58	0.8667921634
59	0.8650092593
60	0.8631669166
61	0.8612648906
62	0.8595841499
63	0.8570282507
64	0.8555088567
65	0.8536804506
66	0.8524373249
67	0.8511484759
68	0.8497248282
69	0.8482897366
70	0.846757384
71	0.8457662392
72	0.8442212659
73	0.8427186312
74	0.8413916051
75	0.8402501717
76	0.838363457
77	0.8364558287
78	0.8350478707
79	0.8335659732
80	0.831395135
81	0.8307401113
82	0.829886342
83	0.8278550386
84	0.8266989088
85	0.8237557755
86	0.8219922335
87	0.8205030614
88	0.8188713923
89	0.8175854831
90	0.8154051848
91	0.8131161184
92	0.8108872139
93	0.8097656979
94	0.8088352276
95	0.8072758184
96	0.8058356826
97	0.8044624906
98	0.8035563414
99	0.8020885576
