iter	Passed	Remaining
0	66	6538
1	83	4074
2	97	3163
3	111	2666
4	124	2362
5	138	2166
6	154	2053
7	169	1950
8	184	1868
9	198	1787
10	213	1724
11	227	1671
12	244	1636
13	259	1595
14	273	1552
15	288	1512
16	301	1470
17	314	1434
18	327	1396
19	341	1366
20	355	1335
21	367	1304
22	381	1276
23	395	1253
24	410	1231
25	424	1207
26	440	1189
27	455	1170
28	468	1146
29	481	1123
30	495	1101
31	507	1078
32	521	1059
33	536	1041
34	551	1024
35	565	1006
36	579	986
37	593	968
38	609	952
39	622	933
40	637	917
41	651	899
42	665	882
43	679	865
44	693	847
45	709	832
46	722	815
47	737	798
48	751	781
49	763	763
50	777	746
51	791	730
52	805	713
53	818	696
54	831	680
55	844	663
56	857	646
57	871	630
58	882	613
59	898	598
60	913	583
61	928	568
62	943	554
63	958	539
64	972	523
65	987	508
66	1001	493
67	1016	478
68	1029	462
69	1042	446
70	1056	431
71	1069	415
72	1082	400
73	1097	385
74	1110	370
75	1125	355
76	1141	341
77	1158	326
78	1171	311
79	1186	296
80	1200	281
81	1213	266
82	1226	251
83	1240	236
84	1254	221
85	1267	206
86	1281	191
87	1295	176
88	1309	161
89	1323	147
90	1336	132
91	1350	117
92	1365	102
93	1377	87
94	1392	73
95	1410	58
96	1425	44
97	1439	29
98	1453	14
99	1466	0
