iter	MultiClass
0	1.079850434
1	1.066241988
2	1.054433673
3	1.044249203
4	1.035448669
5	1.028133555
6	1.02197245
7	1.016410984
8	1.01170839
9	1.007294647
10	1.004130325
11	1.001345379
12	0.9983226296
13	0.9958974722
14	0.9935863666
15	0.9917184088
16	0.9900445359
17	0.9888479632
18	0.9874629024
19	0.9862920198
20	0.9850919894
21	0.9840351004
22	0.9831694976
23	0.9824570962
24	0.981546624
25	0.9806596232
26	0.9796066344
27	0.9788071034
28	0.978186136
29	0.9772686147
30	0.9764976709
31	0.9756799261
32	0.9753310877
33	0.9746430245
34	0.9742213159
35	0.9734517489
36	0.9729992748
37	0.972385907
38	0.9717273808
39	0.9709908726
40	0.9702931641
41	0.9695258062
42	0.9689946613
43	0.9684408313
44	0.9678474073
45	0.9675409465
46	0.9672292529
47	0.9666496695
48	0.9662066115
49	0.9658041025
50	0.9651313969
51	0.9644379733
52	0.9638405335
53	0.9629656402
54	0.9625759618
55	0.9622256693
56	0.9613283745
57	0.9607374572
58	0.960196511
59	0.9596714395
60	0.9590795536
61	0.9583332895
62	0.9576469766
63	0.9568994228
64	0.9560989005
65	0.9553373239
66	0.954899218
67	0.9540936405
68	0.9536070072
69	0.9531479539
70	0.9522754351
71	0.9517812468
72	0.9511533532
73	0.95071921
74	0.9500642631
75	0.9497061282
76	0.9493567847
77	0.9487865669
78	0.9482247743
79	0.9478025896
80	0.9472032436
81	0.9466123682
82	0.9462253084
83	0.945568383
84	0.9449934589
85	0.9444283642
86	0.9440313067
87	0.94336739
88	0.9430272482
89	0.9427503653
90	0.9422837034
91	0.941890393
92	0.9413327145
93	0.9408876766
94	0.940368398
95	0.9396651324
96	0.939064372
97	0.9384255083
98	0.9379794197
99	0.9370621053
