iter	Passed	Remaining
0	69	6872
1	88	4319
2	107	3461
3	125	3011
4	145	2763
5	164	2582
6	183	2439
7	204	2347
8	224	2267
9	244	2202
10	264	2140
11	284	2089
12	302	2025
13	323	1984
14	341	1934
15	359	1885
16	379	1851
17	399	1821
18	420	1790
19	438	1755
20	458	1724
21	476	1690
22	495	1659
23	515	1632
24	533	1600
25	552	1573
26	571	1546
27	590	1517
28	609	1492
29	627	1464
30	645	1436
31	664	1412
32	682	1385
33	701	1361
34	720	1338
35	739	1315
36	757	1290
37	776	1266
38	793	1241
39	811	1216
40	827	1191
41	845	1167
42	863	1144
43	879	1119
44	897	1096
45	915	1074
46	933	1052
47	951	1030
48	970	1010
49	989	989
50	1007	967
51	1023	944
52	1042	924
53	1060	903
54	1078	882
55	1096	861
56	1114	841
57	1135	822
58	1154	801
59	1172	781
60	1190	761
61	1211	742
62	1230	722
63	1249	702
64	1268	683
65	1286	662
66	1307	643
67	1326	624
68	1345	604
69	1365	585
70	1383	565
71	1401	544
72	1420	525
73	1440	505
74	1457	485
75	1474	465
76	1492	445
77	1511	426
78	1529	406
79	1549	387
80	1568	367
81	1585	348
82	1604	328
83	1622	309
84	1641	289
85	1660	270
86	1679	250
87	1696	231
88	1714	211
89	1731	192
90	1748	172
91	1767	153
92	1784	134
93	1801	115
94	1819	95
95	1837	76
96	1854	57
97	1869	38
98	1889	19
99	1906	0
